------
Drone: 1
id=38, command=command, response=None, start_time=2023-07-18 19:48:55.672050, end_time=None, duration=None
------
Drone: 218
id=0, command=command, response=None, start_time=2023-07-18 19:45:45.344553, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-07-18 19:45:50.359530, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-07-18 19:45:55.367030, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-07-18 19:46:00.373868, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-07-18 19:46:05.382074, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-07-18 19:46:10.386316, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-07-18 19:46:15.396825, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-07-18 19:46:20.403575, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-07-18 19:46:25.413329, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-07-18 19:46:30.429628, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-07-18 19:46:35.435103, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-07-18 19:46:40.444498, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-07-18 19:46:45.450320, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-07-18 19:46:50.459693, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-07-18 19:46:55.469791, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-07-18 19:47:00.475580, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-07-18 19:47:05.477772, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-07-18 19:47:10.482025, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-07-18 19:47:15.489558, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-07-18 19:47:20.502898, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-07-18 19:47:25.508132, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-07-18 19:47:30.513076, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-07-18 19:47:35.518615, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-07-18 19:47:40.526847, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-07-18 19:47:45.534866, end_time=None, duration=None
id=25, command=command, response=None, start_time=2023-07-18 19:47:50.545917, end_time=None, duration=None
id=26, command=command, response=None, start_time=2023-07-18 19:47:55.557465, end_time=None, duration=None
id=27, command=command, response=None, start_time=2023-07-18 19:48:00.562129, end_time=None, duration=None
id=28, command=command, response=None, start_time=2023-07-18 19:48:05.572779, end_time=None, duration=None
id=29, command=command, response=None, start_time=2023-07-18 19:48:10.582651, end_time=None, duration=None
id=30, command=command, response=None, start_time=2023-07-18 19:48:15.586091, end_time=None, duration=None
id=31, command=command, response=None, start_time=2023-07-18 19:48:20.597035, end_time=None, duration=None
id=32, command=command, response=None, start_time=2023-07-18 19:48:25.603905, end_time=None, duration=None
id=33, command=command, response=None, start_time=2023-07-18 19:48:30.613569, end_time=None, duration=None
id=34, command=command, response=None, start_time=2023-07-18 19:48:35.628080, end_time=None, duration=None
id=35, command=command, response=None, start_time=2023-07-18 19:48:40.632326, end_time=None, duration=None
id=36, command=command, response=None, start_time=2023-07-18 19:48:45.644881, end_time=None, duration=None
id=37, command=command, response=None, start_time=2023-07-18 19:48:50.658900, end_time=None, duration=None
id=38, command=command, response=None, start_time=2023-07-18 19:48:55.672050, end_time=None, duration=None
------
Drone: 219
id=0, command=command, response=None, start_time=2023-07-18 19:45:45.344553, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-07-18 19:45:50.359530, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-07-18 19:45:55.367030, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-07-18 19:46:00.373868, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-07-18 19:46:05.382074, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-07-18 19:46:10.386316, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-07-18 19:46:15.396825, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-07-18 19:46:20.403575, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-07-18 19:46:25.413329, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-07-18 19:46:30.429628, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-07-18 19:46:35.435103, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-07-18 19:46:40.444498, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-07-18 19:46:45.450320, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-07-18 19:46:50.459693, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-07-18 19:46:55.469791, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-07-18 19:47:00.475580, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-07-18 19:47:05.477772, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-07-18 19:47:10.482025, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-07-18 19:47:15.489558, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-07-18 19:47:20.502898, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-07-18 19:47:25.508132, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-07-18 19:47:30.513076, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-07-18 19:47:35.518615, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-07-18 19:47:40.526847, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-07-18 19:47:45.534866, end_time=None, duration=None
id=25, command=command, response=None, start_time=2023-07-18 19:47:50.545917, end_time=None, duration=None
id=26, command=command, response=None, start_time=2023-07-18 19:47:55.557465, end_time=None, duration=None
id=27, command=command, response=None, start_time=2023-07-18 19:48:00.562129, end_time=None, duration=None
id=28, command=command, response=None, start_time=2023-07-18 19:48:05.572779, end_time=None, duration=None
id=29, command=command, response=None, start_time=2023-07-18 19:48:10.582651, end_time=None, duration=None
id=30, command=command, response=None, start_time=2023-07-18 19:48:15.586091, end_time=None, duration=None
id=31, command=command, response=None, start_time=2023-07-18 19:48:20.597035, end_time=None, duration=None
id=32, command=command, response=None, start_time=2023-07-18 19:48:25.603905, end_time=None, duration=None
id=33, command=command, response=None, start_time=2023-07-18 19:48:30.613569, end_time=None, duration=None
id=34, command=command, response=None, start_time=2023-07-18 19:48:35.628080, end_time=None, duration=None
id=35, command=command, response=None, start_time=2023-07-18 19:48:40.632326, end_time=None, duration=None
id=36, command=command, response=None, start_time=2023-07-18 19:48:45.644881, end_time=None, duration=None
id=37, command=command, response=None, start_time=2023-07-18 19:48:50.658900, end_time=None, duration=None
id=38, command=command, response=None, start_time=2023-07-18 19:48:55.672050, end_time=None, duration=None
------
Drone: 220
id=0, command=command, response=None, start_time=2023-07-18 19:45:45.344553, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-07-18 19:45:50.359530, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-07-18 19:45:55.367030, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-07-18 19:46:00.373868, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-07-18 19:46:05.382074, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-07-18 19:46:10.386316, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-07-18 19:46:15.396825, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-07-18 19:46:20.403575, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-07-18 19:46:25.413329, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-07-18 19:46:30.429628, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-07-18 19:46:35.435103, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-07-18 19:46:40.444498, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-07-18 19:46:45.450320, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-07-18 19:46:50.459693, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-07-18 19:46:55.469791, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-07-18 19:47:00.475580, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-07-18 19:47:05.477772, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-07-18 19:47:10.482025, end_time=None, duration=None
